file,n_utt,n_child,n_caregiver,n_other,caregiver_to_child_ratio,pct_mor,pct_gra,pct_rich_dep,pct_zero_tokens,mean_tokens,median_tokens,n_total_word_tokens,pct_control_word_tokens,pct_period,pct_question,pct_exclamation,pct_other_term,header_types,n_distinct_header_types,subcorpus,pool,child
030002,310,81,164,65,2.0246913580246915,0.8451612903225807,0.8451612903225807,0.15483870967741936,0.07741935483870968,4.735483870967742,3.0,1468,0.048365122615803814,0.932258064516129,0.05806451612903226,0.0,0.00967741935483871,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
030300,506,160,323,23,2.01875,0.9110671936758893,0.9110671936758893,0.11264822134387352,0.08102766798418973,3.411067193675889,3.0,1726,0.04055619930475087,0.8932806324110671,0.09090909090909091,0.001976284584980237,0.01383399209486166,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
030606,439,136,302,1,2.2205882352941178,0.876993166287016,0.876993166287016,0.17539863325740318,0.04783599088838269,3.783599088838269,3.0,1661,0.050571944611679714,0.8542141230068337,0.13895216400911162,0.0,0.00683371298405467,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
040800,527,211,316,0,1.4976303317535544,0.8614800759013282,0.8614800759013282,0.19734345351043645,0.06072106261859583,3.4686907020872866,3.0,1828,0.05306345733041575,0.8425047438330171,0.1252371916508539,0.0,0.03225806451612903,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|types|utf8,13,UK_short_obs,English-UK,Abigail
010601,480,230,236,14,1.0260869565217392,0.7875,0.7875,0.17083333333333334,0.07916666666666666,1.8416666666666666,1.0,884,0.15610859728506787,0.8645833333333334,0.125,0.004166666666666667,0.00625,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Frances
010830,224,112,112,0,1.0,0.8705357142857143,0.8705357142857143,0.24107142857142858,0.09821428571428571,2.325892857142857,1.0,521,0.07869481765834933,0.71875,0.27232142857142855,0.004464285714285714,0.004464285714285714,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Frances
020001,338,157,179,2,1.1401273885350318,0.7958579881656804,0.7958579881656804,0.24260355029585798,0.047337278106508875,2.423076923076923,2.0,819,0.07936507936507936,0.7958579881656804,0.19822485207100593,0.005917159763313609,0.0,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Frances
020302,258,124,131,3,1.0564516129032258,0.7945736434108527,0.7945736434108527,0.18604651162790697,0.031007751937984496,2.4767441860465116,2.0,639,0.10485133020344288,0.7441860465116279,0.25193798449612403,0.003875968992248062,0.0,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Frances
020603,323,206,115,2,0.558252427184466,0.8637770897832817,0.8637770897832817,0.19814241486068113,0.021671826625386997,2.829721362229102,2.0,914,0.087527352297593,0.8080495356037152,0.1826625386996904,0.006191950464396285,0.0030959752321981426,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Frances
020830,268,159,109,0,0.6855345911949685,0.8470149253731343,0.8470149253731343,0.11567164179104478,0.022388059701492536,2.783582089552239,2.0,746,0.07372654155495978,0.6044776119402985,0.3880597014925373,0.0037313432835820895,0.0037313432835820895,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Frances
