corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Manchester,English-Manchester,S4_post_OLS_cluster_cue,COI_z,-0.01419466984665205,0.012595203733499287,-1.1269900945626379,0.2597466690278055,-0.03888081554225507,0.010491475848950976
Manchester,English-Manchester,S4_post_OLS_cluster_cue,cumulative_cue_attempts_z,0.03387106355422691,0.015635693069244134,2.166265569695294,0.030290899125866737,0.0032256682651858673,0.06451645884326795
Manchester,English-Manchester,S4_post_OLS_cluster_cue,COI_x_cumulative,-0.0014543906622166017,0.013226937206604202,-0.10995672236883572,0.9124436972716159,-0.027378711212933664,0.024469929888500462
Manchester,English-Manchester,S4_post_OLS_cluster_cue,prior_local_freq_z,0.14314411021876425,0.018925026825415924,7.56374675392928,3.916218408910743e-14,0.10605173923449465,0.18023648120303384
Manchester,English-Manchester,S4_post_OLS_cluster_cue,log_cue_freq_z,0.11132175833692638,0.024409323553707347,4.560624471710056,5.100171940437405e-06,0.06348036328467474,0.15916315338917802
Manchester,English-Manchester,S4_post_OLS_cluster_cue,age_z,0.020418414703547362,0.0072026417831292456,2.8348507836907055,0.0045847094210961226,0.006301496215070685,0.03453533319202404
English-UK,English-UK,M_new_post_OLS_cluster_cue,const,0.39601792012170794,0.010218721659391953,38.754154709530695,0.0,0.37598959370126034,0.41604624654215555
English-UK,English-UK,M_new_post_OLS_cluster_cue,COI_z,0.007896714512111838,0.009335826275463309,0.8458506273693432,0.39763607837678117,-0.010401168753718961,0.026194597777942637
English-UK,English-UK,M_new_post_OLS_cluster_cue,cumulative_cue_attempts_z,0.022482852637200134,0.00964192335901656,2.3317808906016135,0.01971222082420336,0.0035850301118322166,0.04138067516256805
English-UK,English-UK,M_new_post_OLS_cluster_cue,COI_x_cumulative,0.024256509670845992,0.0095744676844513,2.533457782748379,0.01129433442742769,0.00549089783817884,0.043022121503513144
English-UK,English-UK,M_new_post_OLS_cluster_cue,prior_local_freq_z,0.1532330650883033,0.018150279971503203,8.44246288921639,3.107200898102965e-17,0.11765917003483836,0.18880696014176826
English-UK,English-UK,M_new_post_OLS_cluster_cue,log_cue_freq_z,0.10775988214603072,0.021860811309656666,4.929363353428219,8.24980140990557e-07,0.06491347930627776,0.15060628498578366
English-UK,English-UK,M_new_post_OLS_cluster_child,const,0.39601792012170794,0.010827942780051763,36.573699008761736,7.491999601178916e-293,0.374795542246146,0.4172402979972699
English-UK,English-UK,M_new_post_OLS_cluster_child,COI_z,0.007896714512111838,0.0012326867207877387,6.406100089295604,1.4928897992854166e-10,0.005480692935147089,0.010312736089076588
