language,child,subcorpus,window,n_episodes,truncation,mode,n_cues,outcome_mean,outcome_var,beta,se,p
English-Manchester,Carl,Manchester,5,5983,0.0008357011532675915,LPM,83,0.5189704161791743,0.24968185519285582,-0.015825433782755548,0.03162163312557526,0.6167496280071572
English-Manchester,Carl,Manchester,5,5983,0.0008357011532675915,Logit,83,0.5189704161791743,0.24968185519285582,-0.06070271107086534,0.07063940640590655,0.39015730642927926
English-Manchester,Carl,Manchester,5,5983,0.0008357011532675915,Continuous,83,0.2045517856147975,0.06297873913120498,-0.005915682515184792,0.012118420972938729,0.6254391954543066
English-Manchester,Carl,Manchester,7,5983,0.0020056827678422194,LPM,83,0.5721210095269932,0.24483948251238757,-0.02382331562563518,0.038413835763610495,0.5351423212178408
English-Manchester,Carl,Manchester,7,5983,0.0020056827678422194,Logit,83,0.5721210095269932,0.24483948251238757,-0.038566261932860946,0.07447821688171397,0.6045843156042253
English-Manchester,Carl,Manchester,7,5983,0.0020056827678422194,Continuous,83,0.19548403014891397,0.05196752972933781,0.00145477150799152,0.012027723747822334,0.903729432078725
English-Manchester,Carl,Manchester,10,5983,0.002674243690456293,LPM,83,0.625940163797426,0.23417821574367093,-0.04107345755082263,0.04665700510723729,0.37868176962897204
English-Manchester,Carl,Manchester,10,5983,0.002674243690456293,Logit,83,0.625940163797426,0.23417821574367093,-0.003614428344825305,0.08319015019949541,0.9653445811148119
English-Manchester,Carl,Manchester,10,5983,0.002674243690456293,Continuous,83,0.18772341740752235,0.04379383002993312,0.00688102415386767,0.011221875529851055,0.5397576506083659
English-Manchester,Carl,Manchester,15,5983,0.0036770850743774027,LPM,83,0.6842721042955039,0.2160799072240399,-0.06417089804938934,0.049211935972258786,0.19224374268760225
English-Manchester,Carl,Manchester,15,5983,0.0036770850743774027,Logit,83,0.6842721042955039,0.2160799072240399,0.032311322207632096,0.1016897442000837,0.7506790119891058
English-Manchester,Carl,Manchester,15,5983,0.0036770850743774027,Continuous,83,0.18062739904625247,0.03762166295284398,0.008267557755380867,0.012043702291410208,0.49242109711306414
English-Manchester,Carl,Manchester,20,5983,0.005849908072873141,LPM,83,0.7195386929633963,0.20183649729063505,-0.07145475611760388,0.048030189836729596,0.13682869443072895
English-Manchester,Carl,Manchester,20,5983,0.005849908072873141,Logit,83,0.7195386929633963,0.20183649729063505,0.09367289411651329,0.11823037068825795,0.4281908432241395
English-Manchester,Carl,Manchester,20,5983,0.005849908072873141,Continuous,83,0.17633866812126783,0.034934291253920655,0.01446541210490876,0.012334132306799197,0.24087791293191374
English-Manchester,Dominic,Manchester,3,1575,0.0025396825396825397,LPM,56,0.3815873015873016,0.23612835562009643,0.03382659729612206,0.03005889708777235,0.26044332218362287
English-Manchester,Dominic,Manchester,3,1575,0.0025396825396825397,Logit,56,0.3815873015873016,0.23612835562009643,0.14368436466965234,0.1491703291553886,0.3354353806221153
English-Manchester,Dominic,Manchester,3,1575,0.0025396825396825397,Continuous,56,0.1783068783068783,0.06682051144143476,0.010432999819142558,0.019367005089079334,0.5900940812092339
English-Manchester,Dominic,Manchester,5,1575,0.007619047619047619,LPM,56,0.48,0.24975857687420586,0.021670201322656783,0.03621835735308462,0.5496258124484094
English-Manchester,Dominic,Manchester,5,1575,0.007619047619047619,Logit,56,0.48,0.24975857687420586,0.05672665155770255,0.14439169533870116,0.694418128456032
English-Manchester,Dominic,Manchester,5,1575,0.007619047619047619,Continuous,56,0.16158730158730158,0.04498477239265041,0.005004054935320223,0.02067429760603274,0.8087473721468921
English-Manchester,Dominic,Manchester,7,1575,0.011428571428571429,LPM,56,0.5453968253968254,0.24809664992638308,0.04066995407869946,0.024410946123426903,0.09570266233451194
English-Manchester,Dominic,Manchester,7,1575,0.011428571428571429,Logit,56,0.5453968253968254,0.24809664992638308,0.14060658571307288,0.14446962095494048,0.3304238137512149
English-Manchester,Dominic,Manchester,7,1575,0.011428571428571429,Continuous,56,0.15239002267573692,0.0353291582646249,0.006922609997573999,0.017967914426028565,0.700032784269899
English-Manchester,Dominic,Manchester,10,1575,0.01650793650793651,LPM,56,0.6152380952380953,0.23687057542203663,0.050041021216700315,0.029931200429353568,0.09455032107304373
English-Manchester,Dominic,Manchester,10,1575,0.01650793650793651,Logit,56,0.6152380952380953,0.23687057542203663,0.2123185281229923,0.14752085461870582,0.15008135836582462
English-Manchester,Dominic,Manchester,10,1575,0.01650793650793651,Continuous,56,0.14589241622574955,0.028226892233459606,0.004433714561427528,0.018304317418560402,0.808607887084901
English-Manchester,Dominic,Manchester,15,1575,0.027936507936507936,LPM,56,0.6831746031746032,0.21658457877009335,0.019256354921066948,0.028160098697960878,0.49409071444413966
English-Manchester,Dominic,Manchester,15,1575,0.027936507936507936,Logit,56,0.6831746031746032,0.21658457877009335,0.12418397420027939,0.15602040268056747,0.4260628312956084
English-Manchester,Dominic,Manchester,15,1575,0.027936507936507936,Continuous,56,0.1355530941721418,0.021356510106561682,0.0007442744598247335,0.015420379067765663,0.9615045381862692
English-Manchester,Dominic,Manchester,20,1575,0.03619047619047619,LPM,56,0.726984126984127,0.1986043040680906,-0.006025726381348129,0.03556643824913848,0.8654649571939278
English-Manchester,Dominic,Manchester,20,1575,0.03619047619047619,Logit,56,0.726984126984127,0.1986043040680906,0.08892963825508947,0.1691448238971707,0.5990547412187364
English-Manchester,Dominic,Manchester,20,1575,0.03619047619047619,Continuous,56,0.12852037348152637,0.01772754873918462,-0.0026869859473745705,0.014433174512798649,0.852313522031792
English-Manchester,Gail,Manchester,3,1526,0.001310615989515072,LPM,67,0.3315858453473132,0.22178200803557999,0.008229404443454297,0.028892616699382187,0.7757764971663809
English-Manchester,Gail,Manchester,3,1526,0.001310615989515072,Logit,67,0.3315858453473132,0.22178200803557999,-0.0487705313626722,0.13769953080751995,0.7232033840567698
English-Manchester,Gail,Manchester,3,1526,0.001310615989515072,Continuous,67,0.154434250764526,0.061598903761634995,0.005174195715282971,0.0225784536082938,0.8187405234300769
English-Manchester,Gail,Manchester,5,1526,0.00327653997378768,LPM,67,0.41546526867627787,0.24301312764540323,0.01745972590826414,0.031943497583317826,0.5846662584345663
English-Manchester,Gail,Manchester,5,1526,0.00327653997378768,Logit,67,0.41546526867627787,0.24301312764540323,-0.01604345475559757,0.1333444368248619,0.9042329161844178
English-Manchester,Gail,Manchester,5,1526,0.00327653997378768,Continuous,67,0.1392857142857143,0.04072611241217799,0.008085230925991518,0.020741763373264496,0.6966811792417967
English-Manchester,Gail,Manchester,7,1526,0.00655307994757536,LPM,67,0.47575360419397117,0.24957566121650945,0.0206280501383167,0.024987806979292166,0.40907380471825827
English-Manchester,Gail,Manchester,7,1526,0.00655307994757536,Logit,67,0.47575360419397117,0.24957566121650945,0.013577893846928398,0.1321596593008663,0.9181704645361127
English-Manchester,Gail,Manchester,7,1526,0.00655307994757536,Continuous,67,0.13031111527179678,0.031341326734018134,0.007190040074842037,0.018535424358064243,0.6980840903918675
English-Manchester,Gail,Manchester,10,1526,0.013761467889908258,LPM,67,0.5334207077326344,0.24904625829877744,0.02327825986252552,0.022792761118587836,0.3071120577011107
English-Manchester,Gail,Manchester,10,1526,0.013761467889908258,Logit,67,0.5334207077326344,0.24904625829877744,0.03764586815830243,0.1347897087312098,0.7800197157380571
English-Manchester,Gail,Manchester,10,1526,0.013761467889908258,Continuous,67,0.12297426615906303,0.024717455280897787,0.008484488641343019,0.01583339070969993,0.5920549664486363
English-Manchester,Gail,Manchester,15,1526,0.01703800786369594,LPM,67,0.6140235910878112,0.2371540296070301,0.026909894831732895,0.03467634990925012,0.43773115334551604
